STATION,TREATMENT,REPLICATE,TIME,TYPE,Nutrients
ST435,C,C1,0,Nitrite,0.085
ST435,C,C2,0,Nitrite,0.076
ST435,C,C3,0,Nitrite,0.089
ST435,C,C4,0,Nitrite,0.084
ST435,C,C5,0,Nitrite,0.108
ST435,IA,IA1,0,Nitrite,0.13
ST435,IA,IA2,0,Nitrite,0.119
ST435,IA,IA3,0,Nitrite,0.079
ST435,IA,IA4,0,Nitrite,0.136
ST435,IA,IA5,0,Nitrite,0.109
ST435,PP,PP1,0,Nitrite,0.097
ST435,PP,PP2,0,Nitrite,0.089
ST435,PP,PP3,0,Nitrite,0.108
ST435,PP,PP4,0,Nitrite,0.101
ST435,PP,PP5,0,Nitrite,0.134
ST435,C,C1,2,Nitrite,0.069
ST435,C,C2,2,Nitrite,0.125
ST435,C,C3,2,Nitrite,0.065
ST435,C,C4,2,Nitrite,0.1
ST435,C,C5,2,Nitrite,0.117
ST435,IA,IA1,2,Nitrite,0.078
ST435,IA,IA2,2,Nitrite,0.072
ST435,IA,IA3,2,Nitrite,0.065
ST435,IA,IA4,2,Nitrite,0.073
ST435,IA,IA5,2,Nitrite,0.08
ST435,PP,PP1,2,Nitrite,0.055
ST435,PP,PP2,2,Nitrite,0.086
ST435,PP,PP3,2,Nitrite,0.088
ST435,PP,PP4,2,Nitrite,0.072
ST435,PP,PP5,2,Nitrite,0.094
ST435,C,C1,4,Nitrite,0.07
ST435,C,C2,4,Nitrite,0.041
ST435,C,C3,4,Nitrite,0.048
ST435,C,C4,4,Nitrite,0.071
ST435,C,C5,4,Nitrite,0.034
ST435,IA,IA1,4,Nitrite,0.058
ST435,IA,IA2,4,Nitrite,0.112
ST435,IA,IA3,4,Nitrite,0.088
ST435,IA,IA4,4,Nitrite,0.094
ST435,IA,IA5,4,Nitrite,0.042
ST435,PP,PP1,4,Nitrite,0.054
ST435,PP,PP2,4,Nitrite,0.055
ST435,PP,PP3,4,Nitrite,0.087
ST435,PP,PP4,4,Nitrite,0.066
ST435,PP,PP5,4,Nitrite,0.09
ST177,C,C1,0,Nitrite,0.076
ST177,C,C2,0,Nitrite,0.102
ST177,C,C3,0,Nitrite,0.065
ST177,C,C4,0,Nitrite,0.085
ST177,C,C5,0,Nitrite,0.096
ST177,IA,IA1,0,Nitrite,0.091
ST177,IA,IA2,0,Nitrite,0.075
ST177,IA,IA3,0,Nitrite,0.077
ST177,IA,IA4,0,Nitrite,0.089
ST177,IA,IA5,0,Nitrite,0.095
ST177,PP,PP1,0,Nitrite,0.092
ST177,PP,PP2,0,Nitrite,0.073
ST177,PP,PP3,0,Nitrite,0.075
ST177,PP,PP4,0,Nitrite,0.091
ST177,PP,PP5,0,Nitrite,0.083
ST177,C,C1,2,Nitrite,0.068
ST177,C,C2,2,Nitrite,0.078
ST177,C,C3,2,Nitrite,0.061
ST177,C,C4,2,Nitrite,0.066
ST177,C,C5,2,Nitrite,0.076
ST177,IA,IA1,2,Nitrite,0.081
ST177,IA,IA2,2,Nitrite,0.054
ST177,IA,IA3,2,Nitrite,0.066
ST177,IA,IA4,2,Nitrite,0.066
ST177,IA,IA5,2,Nitrite,0.061
ST177,PP,PP1,2,Nitrite,0.075
ST177,PP,PP2,2,Nitrite,0.062
ST177,PP,PP3,2,Nitrite,0.062
ST177,PP,PP4,2,Nitrite,0.079
ST177,PP,PP5,2,Nitrite,0.07
ST177,C,C1,4,Nitrite,0.06
ST177,C,C2,4,Nitrite,0.05
ST177,C,C3,4,Nitrite,0.051
ST177,C,C4,4,Nitrite,0.042
ST177,C,C5,4,Nitrite,0.053
ST177,IA,IA1,4,Nitrite,0.098
ST177,IA,IA2,4,Nitrite,0.09
ST177,IA,IA3,4,Nitrite,0.081
ST177,IA,IA4,4,Nitrite,0.081
ST177,IA,IA5,4,Nitrite,0.078
ST177,PP,PP1,4,Nitrite,0.09
ST177,PP,PP2,4,Nitrite,0.092
ST177,PP,PP3,4,Nitrite,0.109
ST177,PP,PP4,4,Nitrite,0.097
ST177,PP,PP5,4,Nitrite,0.103
ST435,C,C1,0,Nitrate,14.637
ST435,C,C2,0,Nitrate,14.129
ST435,C,C3,0,Nitrate,14.342
ST435,C,C4,0,Nitrate,14.231
ST435,C,C5,0,Nitrate,14.235
ST435,IA,IA1,0,Nitrate,14.338
ST435,IA,IA2,0,Nitrate,14.409
ST435,IA,IA3,0,Nitrate,14.252
ST435,IA,IA4,0,Nitrate,14.563
ST435,IA,IA5,0,Nitrate,14.645
ST435,PP,PP1,0,Nitrate,17.713
ST435,PP,PP2,0,Nitrate,19.365
ST435,PP,PP3,0,Nitrate,19.636
ST435,PP,PP4,0,Nitrate,19.126
ST435,PP,PP5,0,Nitrate,19.26
ST435,C,C1,2,Nitrate,15.796
ST435,C,C2,2,Nitrate,15.096
ST435,C,C3,2,Nitrate,15.45
ST435,C,C4,2,Nitrate,15.628
ST435,C,C5,2,Nitrate,15.614
ST435,IA,IA1,2,Nitrate,15.241
ST435,IA,IA2,2,Nitrate,15.454
ST435,IA,IA3,2,Nitrate,14.798
ST435,IA,IA4,2,Nitrate,15.678
ST435,IA,IA5,2,Nitrate,15.72
ST435,PP,PP1,2,Nitrate,21.967
ST435,PP,PP2,2,Nitrate,20.509
ST435,PP,PP3,2,Nitrate,20.497
ST435,PP,PP4,2,Nitrate,21.79
