GROUP,FAMILY,SPECIES,FEED MODE ,SIZE,MOBILITY,BIOTURBATION,STATION,TREATMENT,CORE,LAYER,COUNTS,ABUNDANCE,BIOMASS,Dry Weight_mg,Dry Weight_ug,Biomass_analysed_mg,Biomass_analysed_ug,n_analysed,Biomass.mg.C.m2,Biomass.mg.N.m2,N_µg,15N_at.percentage,δ15N_air,C_µg,δ13C_VPDB,Formalin.corrected_δ13C_VPDB,13C_at.percentage,Core area_m2,Actual_C.percentage,Actual_N.percentage,Sample_weight_mgC,Sample_weight_mgN,Sample_weight_ugC,Sample_weight_ugN,Sample_weight_ugC/m2,Sample_weight_ugN/m2,Sample_weight_mgCm2,Sample_weight_mgN/m2,Background_N_µg,Background_15N_at.percentage,Background_δ15N_air,Background_C_µg,Background_δ13C_VPDB,Background_Formalin.corrected_δ13C_VPDB,Background_13C_at.percentage,Δδ13C,R 13C sample,R 13C control,F 13C sample,F 13C control ,E 13C,I 13C_ugC,Algal labeling factor,I total_ugC,I.total..ug.C.m2.,I.total..mg.C.m2.,ug.C.mg.1,,Δδ13N,R 13N sample,R 13N control,F 13N sample,F 13N control ,E 13N,I 13C_ugN,Algal labeling factor,I total_ugN,I.total..ug.N.m2.,I.total..mg.N.m2.,ug.N.mg.1
Nematodes,Nematodes,Nematodes,P/S,,,,ST435,C,C1,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.048,0.017,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST435,C,C1,0-5cm,1,333.333,961,2.883,2883,1.362,1362,1,398.221,92.02,130.418,0.372,14.969,564.388,-24.906,-23.906,1.078,0.003,0.414,0.096,1.195,0.276,1194.662,276.061,398220.689,92020.493,398.221,92.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,C,C1,0-5cm,1,333.333,143,0.429,429,0.429,429,1,39.701,9.572,28.716,0.372,15.329,119.102,-24.644,-23.644,1.079,0.003,0.278,0.067,0.119,0.029,119.102,28.716,39700.651,9572.04,39.701,9.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Philomedidae,Philomedes sp.,SDF,,,,ST435,C,C1,0-5cm,2,666.667,350.667,1.052,1052,1.052,1052,1,156.747,22.471,67.413,0.371,13.952,470.242,-26.29,-25.29,1.077,0.003,0.447,0.064,0.47,0.067,470.242,67.413,156747.289,22471.002,156.747,22.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Pholoidae ,Pholoe sp.,P/S,,,,ST435,C,C1,0-5cm,1,333.333,105,0.315,315,0.315,315,1,28.258,5.995,17.986,0.371,13.171,84.775,-25.894,-24.894,1.077,0.003,0.269,0.057,0.085,0.018,84.775,17.986,28258.457,5995.301,28.258,5.995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipuncula,Sipuncula,,SDF,,,,ST435,C,C1,0-5cm,1,333.333,4,0.012,12,,0,,0.772,0.172,,,,,,,,0.003,0.193,0.043,0.002,0.001,2.317,0.516,772.243,171.932,0.772,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,C,C1,5-10cm,1,333.333,246,0.738,738,0.738,738,1,88.174,14.47,43.409,0.371,12.807,264.521,-23.658,-22.658,1.08,0.003,0.358,0.059,0.265,0.043,264.521,43.409,88173.778,14469.623,88.174,14.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,C,C1,5-10cm,,,663,1.989,1989,,0,,215.823,53.083,,,,,,,,0.003,0.326,0.08,0.647,0.159,647.468,159.25,215822.757,53083.277,215.823,53.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST435,C,C1,0-5cm,,,,,,10.172,10172,,0,,19.918,0.369,6.121,148.359,-25.268,-24.268,1.078,0.003,0.015,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,C,C2,0-5cm,1,333.333,62,0.186,186,0.186,186,1,18.875,3.813,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.003,0.304,0.061,0.057,0.011,56.624,11.438,18874.624,3812.719,18.875,3.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Polynoidae,,P/S,,,,ST435,C,C2,0-5cm,1,333.333,49.667,0.149,149,0.149,149,1,18.137,3.92,11.76,0.37,11.499,54.41,-25.519,-24.519,1.078,0.003,0.365,0.079,0.054,0.012,54.41,11.76,18136.714,3920.073,18.137,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipuncula,Sipuncula,,SDF,,,,ST435,C,C2,0-5cm,1,333.333,11,0.033,33,,0,,2.124,0.473,,,,,,,,0.003,0.193,0.043,0.006,0.001,6.371,1.418,2123.669,472.813,2.124,0.473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,C,C2,5-10cm,1,333.333,15.333,0.046,46,,0,,3.36,0.616,,,,,,,,0.003,0.219,0.04,0.01,0.002,10.081,1.848,3360.261,615.845,3.36,0.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST435,C,C2,0-5cm,,,,,,14.316,14316,,0,,24.103,0.368,4.81,181.767,-25.245,-24.245,1.078,0.003,0.013,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST435,C,C3,0-5cm,1,333.333,8772.667,26.318,26318,2.523,2523,1,4060.399,861.089,247.647,0.371,13.325,1167.762,-25.313,-24.313,1.078,0.003,0.463,0.098,12.181,2.583,12181.197,2583.267,4060398.928,861089.144,4060.399,861.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST435,C,C3,5-10cm,1,333.333,5674.667,17.024,17024,1.614,1614,1,2497.966,443.512,126.145,0.371,13.106,710.476,-26.018,-25.018,1.077,0.003,0.44,0.078,7.494,1.331,7493.897,1330.536,2497965.724,443512.128,2497.966,443.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,C,C3,0-5cm,1,333.333,61,0.183,183,0.183,183,1,18.405,5.029,15.088,0.372,14.928,55.215,-24.573,-23.573,1.079,0.003,0.302,0.082,0.055,0.015,55.215,15.088,18405.055,5029.312,18.405,5.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,C,C3,0-5cm,1,333.333,44.667,0.134,134,0.134,134,1,12.365,3.122,9.366,0.37,10.22,37.094,-25.221,-24.221,1.078,0.003,0.277,0.07,0.037,0.009,37.094,9.366,12364.543,3122.043,12.365,3.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Syllidae,,P/S,,,,ST435,C,C3,5-10cm,1,333.333,475.333,1.426,1426,1.426,1426,1,125.856,26.861,80.584,0.372,16.553,377.567,-24.878,-23.878,1.078,0.003,0.265,0.057,0.378,0.081,377.567,80.584,125855.511,26861.264,125.856,26.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,C,C3,5-10cm,2,666.667,186.333,0.559,559,0.559,559,2,84.193,11.753,35.259,0.37,11.468,252.58,-24.62,-23.62,1.079,0.003,0.452,0.063,0.253,0.035,252.58,35.259,84193.428,11753.08,84.193,11.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,C,C3,0-5cm,,,182,0.546,546,,0,,59.245,14.572,,,,,,,,0.003,0.326,0.08,0.178,0.044,177.736,43.716,59245.463,14571.88,59.245,14.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,C,C3,5-10cm,,,389,1.167,1167,,0,,126.629,31.145,,,,,,,,0.003,0.326,0.08,0.38,0.093,379.887,93.436,126629.039,31145.392,126.629,31.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulk sediments,Bulk sediments,Bulk sediments,,,,,ST435,C,C3,0-5cm,,,,,,9.853,9853,,0,,15.947,0.369,7.586,122.511,-25.087,-24.087,1.078,0.003,0.012,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Diastylidae,,FF/SDF,,,,ST435,C,C4,0-5cm,1,333.333,49,0.147,147,0.253,253,2,13.772,3.705,11.116,0.37,8.792,71.107,-24.177,-23.177,1.079,0.003,0.281,0.044,0.041,0.011,41.315,11.116,13771.744,3705.364,13.772,3.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Mytilidae ,Dacrydium sp.,SSDF,,,,ST435,C,C4,0-5cm,2,666.667,57.333,0.172,172,0.172,172,2,9.208,0.957,2.87,0.371,11.782,27.623,-10.804,-9.804,1.094,0.003,0.161,0.017,0.028,0.003,27.623,2.87,9207.694,956.59,9.208,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Onuphidae,,P/S,,,,ST435,C,C4,0-5cm,1,333.333,86.667,0.26,260,0.26,260,1,19.009,3.849,11.546,0.37,10.179,57.026,-25.502,-24.502,1.078,0.003,0.219,0.044,0.057,0.012,57.026,11.546,19008.779,3848.504,19.009,3.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,C,C4,0-5cm,1,333.333,62.333,0.187,187,0.187,187,1,17.734,4.385,13.156,0.37,11.004,53.203,-25.069,-24.069,1.078,0.003,0.285,0.07,0.053,0.013,53.203,13.156,17734.18,4385.256,17.734,4.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,C,C4,5-10cm,1,333.333,110.333,0.331,331,0.331,331,1,50.855,7.533,22.6,0.371,12.47,152.564,-24.101,-23.101,1.079,0.003,0.461,0.068,0.153,0.023,152.564,22.6,50854.505,7533.491,50.855,7.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,unidentified,unidentified,,,,,ST435,C,C4,5-10cm,,,965.667,2.897,2897,,0,,314.348,77.316,,,,,,,,0.003,0.326,0.08,0.943,0.232,943.045,231.949,314348.179,77316.367,314.348,77.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST435,C,C5,0-5cm,1,333.333,22.333,0.067,67,0.067,67,1,7.393,1.136,3.407,0.37,9.292,22.18,-26.408,-25.408,1.077,0.003,0.331,0.051,0.022,0.003,22.18,3.407,7393.453,1135.575,7.393,1.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,C,C5,0-5cm,1,333.333,57.333,0.172,172,0.172,172,1,16.191,2.925,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,0.003,0.282,0.051,0.049,0.009,48.573,8.776,16190.89,2925.207,16.191,2.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crustacea,Diastylidae,,FF/SDF,,,,ST435,C,C5,0-5cm,1,333.333,35,0.105,105,,0,,9.837,1.538,,,,,,,,0.003,0.281,0.044,0.03,0.005,29.511,4.613,9836.96,1537.799,9.837,1.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Mytilidae ,Dacrydium sp.,SSDF,,,,ST435,C,C5,0-5cm,1,333.333,3.333,0.01,10,,0,,0.535,0.056,,,,,,,,0.003,0.161,0.017,0.002,0,1.606,0.167,535.331,55.616,0.535,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemertea,Nemertea,,P/S,,,,ST435,C,C5,0-5cm,1,333.333,39.333,0.118,118,0.118,118,1,17.533,3.813,11.438,0.371,13.317,52.599,-25.316,-24.316,1.078,0.003,0.446,0.097,0.053,0.011,52.599,11.438,17532.903,3812.719,17.533,3.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echinodermata,Ophiurida,Ophiure ,FF/SDF,,,,ST435,C,C5,0-5cm,1,333.333,63.667,0.191,191,0.191,191,1,8.065,0.577,1.731,0.37,9.195,24.196,-8.792,-7.792,1.096,0.003,0.127,0.009,0.024,0.002,24.196,1.731,8065.456,577.129,8.065,0.577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priapulida,Priapulidae,Priapulopsis bicaudatus,SDF,,,,ST435,C,C5,0-5cm,1,333.333,183.333,0.55,550,0.55,550,1,68.246,15.613,46.839,0.372,14.987,204.737,-24.778,-23.778,1.079,0.003,0.372,0.085,0.205,0.047,204.737,46.839,68245.642,15613.16,68.246,15.613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sipuncula,Sipuncula,,SDF,,,,ST435,C,C5,0-5cm,1,333.333,54.667,0.164,164,0.197,197,2,20.513,5.459,16.376,0.372,14.861,73.922,-25.061,-24.061,1.078,0.003,0.375,0.083,0.062,0.016,61.539,16.376,20513.054,5458.655,20.513,5.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,C,C5,0-5cm,2,666.667,113,0.339,339,0.339,339,2,44.445,7.998,23.995,0.371,13.023,133.336,-23.534,-22.534,1.08,0.003,0.393,0.071,0.133,0.024,133.336,23.995,44445.206,7998.468,44.445,7.998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA1,0-5cm,1,333.333,8,0.024,24,,0,,3.067,0.539,,,,,,,,0.003,0.383,0.067,0.009,0.002,9.2,1.617,3066.548,538.92,3.067,0.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Thyasiridae,Axinopsida/Thyasira,FF/SDF,,,,ST435,IA,IA1,0-5cm,1,333.333,105,0.315,315,0.315,315,1,23.01,4.217,12.652,0.371,13.633,69.031,-24.448,-23.448,1.079,0.003,0.219,0.04,0.069,0.013,69.031,12.652,23010.485,4217.199,23.01,4.217,23.995,0.371,13.023,133.336,-23.534,-22.534,1.08,-0.914,0.011,0.011,0.011,0.011,0,-0.001,0.61,-0.001,-0.379,0,-0.016,,0.61,0.004,0.004,0.004,0.004,0,0,0.365,0,0.026,0,0.006
Polychaeta,unidentified,unidentified,,,,,ST435,IA,IA1,0-5cm,,,673.667,2.021,2021,,0,,219.295,53.937,,,,,,,,0.003,0.326,0.08,0.658,0.162,657.885,161.812,219295.019,53937.307,219.295,53.937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Ampharetidae ,,SDF,,,,ST435,IA,IA2,0-5cm,1,333.333,33.667,0.101,101,0.101,101,1,9.434,1.452,4.355,0.372,14.925,28.301,-25.832,-24.832,1.077,0.003,0.28,0.043,0.028,0.004,28.301,4.355,9433.83,1451.669,9.434,1.452,3.407,0.37,9.292,22.18,-26.408,-25.408,1.077,0.577,0.011,0.011,0.011,0.011,0,0,0.61,0,0.098,0,0.01,,5.633,0.004,0.004,0.004,0.004,0,0,0.365,0,0.082,0,0.056
Polychaeta,Lumbrineridae ,Lumbrineris sp.,P/S,,,,ST435,IA,IA2,0-5cm,1,333.333,638.333,1.915,1915,1.915,1915,1,216.026,49.769,149.307,0.371,14.19,648.077,-24.256,-23.256,1.079,0.003,0.338,0.078,0.648,0.149,648.077,149.307,216025.802,49769.029,216.026,49.769,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,-0.051,0.011,0.011,0.011,0.011,0,0,0.61,-0.001,-0.197,0,-0.001,,0.341,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.17,0,0.003
Polychaeta,Lumbrineridae ,Lumbrineris sp.,P/S,,,,ST435,IA,IA2,5-10cm,1,333.333,336.333,1.009,1009,1.009,1009,1,125.309,31.652,94.957,0.371,13.745,375.926,-23.598,-22.598,1.08,0.003,0.373,0.094,0.376,0.095,375.926,94.957,125308.769,31652.205,125.309,31.652,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,0.607,0.011,0.011,0.011,0.011,0,0.003,0.61,0.004,1.371,0.001,0.011,,-0.105,0.004,0.004,0.004,0.004,0,0,0.365,0,-0.033,0,-0.001
Nematodes,Nematodes,Nematodes,P/S,,,,ST435,IA,IA2,0-5cm,1,333.333,0,0,0,,0,,0,0,,,,,,,,0.003,0.048,0.017,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polychaeta,Opheliidae,Ophelina sp.,SSDF,,,,ST435,IA,IA2,0-5cm,1,333.333,197,0.591,591,0.591,591,1,59.161,14.058,42.173,0.373,17.942,177.484,-23.584,-22.584,1.08,0.003,0.3,0.071,0.177,0.042,177.484,42.173,59161.415,14057.737,59.161,14.058,28.716,0.372,15.329,119.102,-24.644,-23.644,1.079,1.06,0.011,0.011,0.011,0.011,0,0.002,0.61,0.003,1.13,0.001,0.019,,2.613,0.004,0.004,0.004,0.004,0,0,0.365,0.001,0.367,0,0.026
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,IA,IA2,0-5cm,1,333.333,141.333,0.424,424,0.424,424,1,47.806,10.064,30.191,0.372,15.419,143.417,-22.952,-21.952,1.081,0.003,0.338,0.071,0.143,0.03,143.417,30.191,47805.585,10063.652,47.806,10.064,9.366,0.37,10.22,37.094,-25.221,-24.221,1.078,2.27,0.011,0.011,0.011,0.011,0,0.004,0.61,0.006,1.955,0.002,0.041,,5.198,0.004,0.004,0.004,0.004,0,0.001,0.365,0.002,0.523,0.001,0.052
Polychaeta,Spionidae,Prionospio sp.,FF/SDF,,,,ST435,IA,IA2,0-5cm,1,333.333,108.667,0.326,326,0.326,326,1,25.315,6.32,18.961,1.025,1817.441,75.946,1015.698,1016.698,2.204,0.003,0.233,0.058,0.076,0.019,75.946,18.961,25315.222,6320.219,25.315,6.32,9.366,0.37,10.22,37.094,-25.221,-24.221,1.078,1040.919,0.023,0.011,0.022,0.011,0.011,0.859,0.61,1.408,469.448,0.469,18.544,,1807.22,0.01,0.004,0.01,0.004,0.007,0.124,0.365,0.34,113.449,0.113,17.95
Polychaeta,unidentified,unidentified,,,,,ST435,IA,IA2,0-5cm,,,625.333,1.876,1876,,0,,203.561,50.067,,,,,,,,0.003,0.326,0.08,0.611,0.15,610.684,150.202,203561.334,50067.485,203.561,50.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bivalve,Yoldiidae,Yoldiella sp.,FF/SDF,,,,ST435,IA,IA2,0-5cm,1,333.333,75.333,0.226,226,0.226,226,1,14.643,3.355,10.064,0.374,21.055,43.928,-22.838,-21.838,1.081,0.003,0.194,0.045,0.044,0.01,43.928,10.064,14642.762,3354.695,14.643,3.355,11.331,0.373,17.89,47.566,-23.481,-22.481,1.08,0.642,0.011,0.011,0.011,0.011,0,0,0.61,0.001,0.169,0,0.012,,3.165,0.004,0.004,0.004,0.004,0,0,0.365,0,0.106,0,0.032
Caudofoveata,Chaetodermatidae,Chaetoderma,P/S,,,,ST435,IA,IA3,0-5cm,1,333.333,1186,3.558,3558,1.911,1911,1,206.609,34.143,55.015,0.371,13.908,332.909,-19.891,-18.891,1.084,0.003,0.174,0.029,0.62,0.102,619.828,102.43,206609.267,34143.322,206.609,34.143,65.711,0.372,15.157,453.821,-18.79,-17.79,1.085,-1.101,0.011,0.011,0.011,0.011,0,-0.004,0.61,-0.007,-2.202,-0.002,-0.011,,-1.249,0.004,0.004,0.004,0.004,0,0,0.365,-0.001,-0.229,0,-0.012
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA3,0-5cm,1,333.333,76.333,0.229,229,0.229,229,1,31.765,4.645,13.935,0.371,13.853,95.296,-25.158,-24.158,1.078,0.003,0.416,0.061,0.095,0.014,95.296,13.935,31765.431,4644.907,31.765,4.645,11.438,0.37,10.787,56.624,-25.319,-24.319,1.078,0.161,0.011,0.011,0.011,0.011,0,0,0.61,0,0.092,0,0.003,,3.066,0.004,0.004,0.004,0.004,0,0,0.365,0,0.142,0,0.031
Polychaeta,Cirratulidae,,FF/SDF,,,,ST435,IA,IA3,0-5cm,2,666.667,57.333,0.172,172,0.172,172,2,20.244,4.11,12.331,0.372,14.581,60.732,-24.445,-23.445,1.079,0.003,0.353,0.072,0.061,0.012,60.732,12.331,20244.043,4110.275,20.244,4.11,8.776,0.371,13.116,48.573,-25.708,-24.708,1.078,1.262,0.011,0.011,0.011,0.011,0,0.001,0.61,0.001,0.461,0,0.023,,1.465,0.004,0.004,0.004,0.004,0,0,0.365,0,0.06,0,0.015
Polychaeta,Lumbrineridae ,Lumbrineris sp.,P/S,,,,ST435,IA,IA3,0-5cm,1,333.333,606,1.818,1818,1.818,1818,1,234.059,52.63,157.889,0.371,13.646,702.177,-23.601,-22.601,1.08,0.003,0.386,0.087,0.702,0.158,702.177,157.889,234058.996,52629.804,234.059,52.63,13.156,0.371,13.85,56.423,-24.205,-23.205,1.079,0.604,0.011,0.011,0.011,0.011,0,0.005,0.61,0.008,2.549,0.003,0.011,,-0.203,0.004,0.004,0.004,0.004,0,0,0.365,0,-0.107,0,-0.002
